Data;Meio de pagamento Restrito - M1 - depósitos à vista - média - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_DEVM12;
1980.01;2,47272727272727E-07;
1980.02;2,51636363636364E-07;
1980.03;2,66181818181818E-07;
1980.04;2,84363636363636E-07;
1980.05;2,98909090909091E-07;
1980.06;3,22545454545455E-07;
1980.07;3,32727272727273E-07;
1980.08;3,35272727272727E-07;
1980.09;3,49818181818182E-07;
1980.10;3,63272727272727E-07;
1980.11;3,80363636363636E-07;
1980.12;4,14545454545454E-07;
1981.01;4,11636363636364E-07;
1981.02;4,04E-07;
1981.03;4,21454545454545E-07;
1981.04;4,44363636363636E-07;
1981.05;4,54545454545455E-07;
1981.06;4,78909090909091E-07;
1981.07;5,01090909090909E-07;
1981.08;5,17818181818182E-07;
1981.09;5,40363636363636E-07;
1981.10;5,89454545454546E-07;
1981.11;6,33454545454545E-07;
1981.12;7,38545454545455E-07;
1982.01;7,57454545454546E-07;
1982.02;7,51272727272727E-07;
1982.03;7,58909090909091E-07;
1982.04;7,95272727272727E-07;
1982.05;8,42909090909091E-07;
1982.06;9,10545454545455E-07;
1982.07;9,48727272727273E-07;
1982.08;1,00109090909091E-06;
1982.09;1,00981818181818E-06;
1982.10;1,09963636363636E-06;
1982.11;1,17418181818182E-06;
1982.12;1,29890909090909E-06;
1983.01;1,29527272727273E-06;
1983.02;1,388E-06;
1983.03;1,34690909090909E-06;
1983.04;1,42581818181818E-06;
1983.05;1,452E-06;
1983.06;1,53272727272727E-06;
1983.07;1,68472727272727E-06;
1983.08;1,71454545454545E-06;
1983.09;1,86690909090909E-06;
1983.10;2,064E-06;
1983.11;2,2E-06;
1983.12;2,54036363636364E-06;
1984.01;2,60218181818182E-06;
1984.02;2,63127272727273E-06;
1984.03;2,89054545454545E-06;
1984.04;3,16836363636364E-06;
1984.05;3,432E-06;
1984.06;3,67636363636364E-06;
1984.07;3,96327272727273E-06;
1984.08;4,32763636363636E-06;
1984.09;4,78654545454546E-06;
1984.10;5,22763636363636E-06;
1984.11;5,74072727272727E-06;
1984.12;7,13018181818182E-06;
1985.01;7,33672727272727E-06;
1985.02;7,78436363636364E-06;
1985.03;8,54909090909091E-06;
1985.04;9,49672727272727E-06;
1985.05;1,02458181818182E-05;
1985.06;1,15949090909091E-05;
1985.07;1,31618181818182E-05;
1985.08;1,49850909090909E-05;
1985.09;1,76330909090909E-05;
1985.10;1,90309090909091E-05;
1985.11;2,14312727272727E-05;
1985.12;2,90647272727273E-05;
1986.01;3,02221818181818E-05;
1986.02;3,29898181818182E-05;
1986.03;5,76287272727273E-05;
1986.04;7,18734545454545E-05;
1986.05;8,58192727272727E-05;
1986.06;9,67509090909091E-05;
1986.07;0,000101384363636364;
1986.08;0,000103688727272727;
1986.09;0,000109744;
1986.10;0,000114737454545455;
1986.11;0,000118126181818182;
1986.12;0,000126769090909091;
1987.01;0,000109918909090909;
1987.02;9,41501818181818E-05;
1987.03;9,79610909090909E-05;
1987.04;0,000108847636363636;
1987.05;0,000100275272727273;
1987.06;0,000110384727272727;
1987.07;0,000133263636363636;
1987.08;0,00015048;
1987.09;0,000162258909090909;
1987.10;0,000180009454545455;
1987.11;0,000199720727272727;
1987.12;0,000256720727272727;
1988.01;0,000253454545454545;
1988.02;0,000255636363636364;
1988.03;0,000275636363636364;
1988.04;0,000327636363636364;
1988.05;0,00038;
1988.06;0,000444;
1988.07;0,000499272727272727;
1988.08;0,000560727272727273;
1988.09;;
1988.10;;
1988.11;;
1988.12;;
1989.01;;
1989.02;;
1989.03;;
1989.04;;
1989.05;;
1989.06;;
1989.07;;
1989.08;;
1989.09;;
1989.10;;
1989.11;;
1989.12;;
1990.01;;
1990.02;;
1990.03;;
1990.04;;
1990.05;;
1990.06;;
1990.07;;
1990.08;;
1990.09;;
1990.10;;
1990.11;;
1990.12;;
1991.01;;
1991.02;;
1991.03;;
1991.04;;
1991.05;;
1991.06;;
1991.07;;
1991.08;;
1991.09;;
1991.10;;
1991.11;;
1991.12;;
1992.01;2,46615171890909;
1992.02;2,8212666;
1992.03;3,4367366;
1992.04;4,11687006690909;
1992.05;4,98893772727273;
1992.06;6,02880651090909;
1992.07;7,20767718581818;
1992.08;8,58772360181818;
1992.09;10,2623890043636;
1992.10;12,8587103029091;
1992.11;15,9911792545455;
1992.12;23,8965032396364;
1993.01;25,0862363636364;
1993.02;31,6727676767273;
1993.03;36,3204110672727;
1993.04;48,5664688996364;
1993.05;57,2504415585455;
1993.06;76,0736623378182;
1993.07;92,2858016527273;
1993.08;122,955966909091;
1993.09;160,120658181818;
1993.10;213,699690909091;
1993.11;296,645618181818;
1993.12;485,47366;
1994.01;542,160675272727;
1994.02;795,327474909091;
1994.03;989,195372;
1994.04;1507,40103345455;
1994.05;2047,67672727273;
1994.06;3201,64838545455;
1994.07;6578,699;
1994.08;7779,071;
1994.09;9489,601;
1994.10;10705,215;
1994.11;11003,819;
1994.12;13063,945;
1995.01;12270,917;
1995.02;11843,816;
1995.03;11251,861;
1995.04;10913,391;
1995.05;10530,409;
1995.06;10588,34;
1995.07;11063,927;
1995.08;10807,957;
1995.09;11159,75;
1995.10;12220,19;
1995.11;12637,8;
1995.12;15255,45;
1996.01;14674,545;
1996.02;13953,421;
1996.03;13521,286;
1996.04;13976,837;
1996.05;13356,138;
1996.06;13475,692;
1996.07;13481,002;
1996.08;12513,425;
1996.09;12873,107;
1996.10;13468,46;
1996.11;12521,999;
1996.12;14351,876;
1997.01;15899,405;
1997.02;22197,088;
1997.03;23126,453;
1997.04;22912,362;
1997.05;23023,568;
1997.06;23122,036;
1997.07;23093,664;
