Data;Base Monetária restrita - M0 - papel-moeda emitido - média - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_PMEM12;
1980.01;6,14545454545454E-08;
1980.02;6,32727272727273E-08;
1980.03;6,18181818181818E-08;
1980.04;6,43636363636364E-08;
1980.05;6,65454545454546E-08;
1980.06;7,09090909090909E-08;
1980.07;7,67272727272727E-08;
1980.08;7,85454545454545E-08;
1980.09;8,25454545454545E-08;
1980.10;8,61818181818182E-08;
1980.11;9,12727272727273E-08;
1980.12;1,16E-07;
1981.01;1,03636363636364E-07;
1981.02;1,08E-07;
1981.03;1,10181818181818E-07;
1981.04;1,13818181818182E-07;
1981.05;1,16727272727273E-07;
1981.06;1,21818181818182E-07;
1981.07;1,32727272727273E-07;
1981.08;1,37818181818182E-07;
1981.09;1,44E-07;
1981.10;1,55272727272727E-07;
1981.11;1,62909090909091E-07;
1981.12;2,14181818181818E-07;
1982.01;2,13818181818182E-07;
1982.02;2,17454545454545E-07;
1982.03;2,12363636363636E-07;
1982.04;2,26181818181818E-07;
1982.05;2,31272727272727E-07;
1982.06;2,46909090909091E-07;
1982.07;2,72727272727273E-07;
1982.08;2,75636363636364E-07;
1982.09;2,86181818181818E-07;
1982.10;3,12E-07;
1982.11;3,35272727272727E-07;
1982.12;4,17090909090909E-07;
1983.01;4,18545454545455E-07;
1983.02;4,29454545454545E-07;
1983.03;4,16E-07;
1983.04;4,33090909090909E-07;
1983.05;4,38545454545455E-07;
1983.06;4,67272727272727E-07;
1983.07;5,40727272727273E-07;
1983.08;5,24E-07;
1983.09;5,66909090909091E-07;
1983.10;5,92727272727273E-07;
1983.11;6,17090909090909E-07;
1983.12;8,01454545454545E-07;
1984.01;8,04E-07;
1984.02;8,14181818181818E-07;
1984.03;8,39636363636364E-07;
1984.04;8,79636363636364E-07;
1984.05;9,13818181818182E-07;
1984.06;1,02545454545455E-06;
1984.07;1,17927272727273E-06;
1984.08;1,24727272727273E-06;
1984.09;1,41454545454545E-06;
1984.10;1,51309090909091E-06;
1984.11;1,61309090909091E-06;
1984.12;2,35381818181818E-06;
1985.01;2,41090909090909E-06;
1985.02;2,57090909090909E-06;
1985.03;2,66654545454545E-06;
1985.04;2,84109090909091E-06;
1985.05;3,04836363636364E-06;
1985.06;3,484E-06;
1985.07;4,20472727272727E-06;
1985.08;4,61018181818182E-06;
1985.09;5,51781818181818E-06;
1985.10;5,82E-06;
1985.11;6,46872727272727E-06;
1985.12;9,61309090909091E-06;
1986.01;9,73054545454545E-06;
1986.02;1,08334545454545E-05;
1986.03;1,21207272727273E-05;
1986.04;1,44810909090909E-05;
1986.05;1,654E-05;
1986.06;1,84298181818182E-05;
1986.07;1,99930909090909E-05;
1986.08;2,09927272727273E-05;
1986.09;2,35123636363636E-05;
1986.10;2,41105454545455E-05;
1986.11;2,60098181818182E-05;
1986.12;3,24821818181818E-05;
1987.01;2,96581818181818E-05;
1987.02;2,71672727272727E-05;
1987.03;2,86614545454545E-05;
1987.04;3,18054545454545E-05;
1987.05;3,24476363636364E-05;
1987.06;3,51334545454545E-05;
1987.07;4,21152727272727E-05;
1987.08;4,67098181818182E-05;
1987.09;5,05807272727273E-05;
1987.10;5,65698181818182E-05;
1987.11;6,25585454545455E-05;
1987.12;9,02509090909091E-05;
1988.01;8,83636363636364E-05;
1988.02;9,45454545454545E-05;
1988.03;9,96363636363636E-05;
1988.04;0,000114909090909091;
1988.05;0,000134909090909091;
1988.06;0,000153818181818182;
1988.07;0,000187272727272727;
1988.08;0,000210181818181818;
