"Category";"Pix";"Saques";"Cobranças (Boleto + Convênio + Débito Direto)";"Cartões (Crédito + Débito + Pré-Pago)";"Transferências Interbancárias (TED + DOC + TEC )";"Cheque";"Transferências Intrabancárias"
"2020-T1";0;719800,78;2709392,31;455758,83;6687593,24;318844,92;4138724,78
"2020-T2";0;663932,32;2287712,62;385605,79;6322532,64;237873,12;3619039,33
"2020-T3";0;723099,8;2995302,9;522758,38;7560298,68;259334,88;3864293,29
"2020-T4";149894,91;765824,47;3095004,78;611382,18;8080547,87;278295,37;4095052,12
"2021-T1";625046,52;673126,6;2995670,21;535492,73;7920544,3;253527,92;3965203,17
"2021-T2";1105735,2;685333,15;3153924,14;586141,29;8593840,91;264944,31;4171595,71
"2021-T3";1556916,22;673720,99;3395705,25;666755,98;9283037,16;271120,34;4380184,5
"2021-T4";1916418,68;705117,24;3576216,49;767790,06;9826896,29;264298,16;4526131,58
"2022-T1";2067826,55;642753,79;3651398,53;727021,19;9523000,51;255455,43;4789393,75
"2022-T2";2543384,4;708789,71;3780250,2;798004,21;10471442,34;271008,09;5242642,7
"2022-T3";2936413,95;607773,39;3876541,86;821270,46;10458605,08;267090,22;5503514,22
"2022-T4";3342913,94;611825,76;3883673,86;890968,03;10397315,79;242259,61;5511068,32
"2023-T1";3447198,28;528932,43;3818805,54;833864,59;9931605,12;240686,19;5753356,16
"2023-T2";3900377,43;638613,02;3837032,93;864006,42;10673492,1;228408,82;5394386,03
"2023-T3";4469529,57;622701,08;3917078,25;892283,48;9974540,16;218121,88;5432701,79
"2023-T4";5300155;644620,62;4024373,53;968841,65;10101394,68;221424,78;5622307,96
"2024-T1";5429305,43;522123,87;3904644,46;915618,17;9653201,62;190457,25;5396871,78
"2024-T2";6284296,05;591903,75;3933603,58;948302,09;10662555,73;221553,82;6189040,43
"2024-T3";6975429,47;526775,87;4038325,54;983753,35;11180217,68;194330,6;6726663,87
"2024-T4";7714110,61;530080,86;4303670,19;1074205,44;11647265,67;187486,45;6948661,98
