data;valor
1 Trim.2018;5316871
2 Trim.2018;5483583
3 Trim.2018;5524099
4 Trim.2018;5636804
1 Trim.2019;5705391
2 Trim.2019;5774720
3 Trim.2019;5948060
4 Trim.2019;6108060
1 Trim.2020;6043138
2 Trim.2020;6291728
3 Trim.2020;6367001
4 Trim.2020;6903927
1 Trim.2021;7140152
2 Trim.2021;7265610
3 Trim.2021;7370314
4 Trim.2021;7594434
1 Trim.2022;7572964
2 Trim.2022;7899862
3 Trim.2022;7747531
4 Trim.2022;8055479
1 Trim.2023;8044289
2 Trim.2023;8396643
3 Trim.2023;8300576
4 Trim.2023;8782488
1 Trim.2024;8973783
2 Trim.2024;9437724
3 Trim.2024;9346931
